Q5ZPA7	CAF05650.1
Q45R84	AAZ23076.1
O85168	AAC80285.1
Q83VS0	AAO72425.1
Q84BQ4	BAC67536.1
Q83VS1	AAO72424.1
Q9FDB3	AAF99707.2
Q2XNF7	ABB80393.1
Q5DIV7	AAX16297.1
Q5DIP4	AAX16360.1
Q5DIS9	AAX16325.1
Q5DIP3	AAX16361.1
Q5DIV8	AAX16296.1
Q5ZPA9	CAF05648.1
Q5ZPB0	CAF05647.1
Q9Z5F4	CAB38084.1
Q5MP00	AAV97877.1
Q6VT95	AAS47564.1
P11454	AAA92015.1
P11454	AAB40785.1
P11454	AAC73687.1
P11454	BAE76341.1
P11454	AAA23727.1
P11454	AAA23759.1
P29698	AAN42148.1
P29698	AAP16020.1
Q2VQ13	AAY29582.1
Q8L334	AAM33468.1
Q70LM6	CAD92850.1
Q333U8	CAJ34374.1
Q9FB23	AAG02359.1
P45745	AAD56240.1
P45745	CAB15186.3
P45745	AAC44634.1
Q45R83	AAZ23077.1
Q45R85	AAZ23075.1
Q9Z4X5	CAB38517.1
Q50E74	AAX31557.1
Q50E74	AHX36919.1
Q50E73	AAX31558.1
Q9RAH2	AAF17280.1
Q70LM5	CAD92851.1
Q5DIS8	AAX16326.1
Q9K5M1	CAC01604.1
Q70LM4	CAD92852.1
Q9RAH1	AAF17281.1
Q84BC7	AAO23334.1
Q84BC7	QHG14829.1
Q9RAH4	AAF15891.2
Q84BC8	AAO23333.1
Q84BC8	QHG14828.1
Q2XNF8	ABB80392.1
Q6YK39	AAN07014.1
Q70K00	CAE11248.1
Q93TX2	AAK57184.1
Q6E7J5	AAS98786.1
Q8G983	CAD29797.1
Q7WRX9	AAO62586.1
Q7WRX9	AFW93775.1
Q7WRX9	CAD60101.1
Q9RNB1	AAF00960.1
Q84BQ5	BAC67535.1
Q84BQ6	BAC67534.2
Q2N3S9	AAY89051.1
Q9Z4X6	CAB38518.1
Q9K5L9	CAC01606.1
Q9K5M2	AFW94565.1
Q9K5M2	CAC01603.1
Q9RNA9	AAF00962.1
Q9RNA9	CAO90225.1
Q7WRJ5	AAO62588.1
Q7WRJ5	AFW93777.1
Q7WRJ5	CAD60103.1
Q847C8	AAO64402.1
Q8G981	CAD29799.1
Q9KID8	AAF86395.1
Q9ZGA6	AAC68816.1
Q52400	AAA85160.2
Q9RLP6	CAB55600.1
Q9FB24	AAG02358.1
Q2VQ17	AAY29578.1
Q5DIV9	AAX16295.1
Q54959	CAA67248.1
Q54959	CAA72311.1
O52819	CAA11794.1
Q8CJX2	CAD55498.1
Q50EC8	AAX31559.1
Q5V8A8	AAT12283.1
O52821	CAA11796.1
Q939Y9	CAC48362.1
Q70AZ6	CAE53353.1
Q8KLL6	AAM80536.1
Q8KLL5	AAM80537.1
Q70AZ7	CAE53352.1
O52820	CAA11795.1
Q939Z0	CAC48361.1
Q70AZ8	CAE53351.1
Q70AZ8	TWG09481.1
Q8KLL4	AAM80538.1
Q93N87	AAK81826.1
Q93N88	AAK81825.1
Q93N89	AAK81824.1
Q70AZ9	CAE53350.1
Q8KLL3	AAM80539.1
Q939Y2	CAC48369.1
